Country,Production(Tons)
China,131696392
India,93500000
Russia,73294568
United States of America,62859050
Canada,30486700
France,29504454
Ukraine,26098830
Pakistan,26005213
Germany,24463800
Australia,22274514
Turkey,20600000
Argentina,18557532
Kazakhstan,14985379
United Kingdom,14383000
Iran,11097605
Poland,10827902
Egypt,9000000
Romania,8431131
Italy,8037872
Uzbekistan,6940500
Brazil,6834421
Spain,6433865
Bulgaria,5662721
Czech Republic,5454663
Hungary,4788027
Afghanistan,4555110
Ethiopia,4537852
Denmark,4201500
Mexico,3862914
Lithuania,3798430
Iraq,3052939
Syria,2936783
Republic of Serbia,2884537
Sweden,2834500
Morocco,2731123
Algeria,2440097
Slovakia,2434213
Belarus,2339950
Latvia,2062300
Austria,1970364
South Africa,1909540
Azerbaijan,1799859
Nepal,1736849
Chile,1731935
Greece,1698031
Turkmenistan,1600000
Belgium,1400074
Bangladesh,1348186
Moldova,1292921
Paraguay,1144000
Netherlands,1016479
Croatia,960081
Tunisia,926592
Tajikistan,917081
Finland,823900
Japan,790800
Saudi Arabia,765815
Uruguay,757000
Kyrgyzstan,661514
Ireland,647700
Sudan,516000
Mongolia,467053
New Zealand,459349
Estonia,455543
Switzerland,386720
Armenia,350369
Bolivia,346242
Norway,308800
Bosnia and Herzegovina,306605
Macedonia,306433
Albania,275000
Kenya,222400
Yemen,220154
Peru,191108
Israel,168000
Libya,164572
Slovenia,163165
Zambia,159533
Lebanon,147748
Georgia,126600
Myanmar,102636
United Republic of Tanzania,96122
Portugal,90017
Rwanda,83764
Luxembourg,70069
Nigeria,60000
North Korea,56702
Zimbabwe,43294
Mali,40137
Palestine,33004
Eritrea,31305
Jordan,31150
South Korea,28778
Uganda,22951
Cyprus,22831
Mozambique,17088
Namibia,13924
Niger,8234
Democratic Republic of the Congo,8208
Mauritania,7718
Taiwan,7357
Burundi,6815
Ecuador,6746
Madagascar,5000
Lesotho,4000
Angola,3995
Oman,2777
Colombia,2721
Bhutan,2683
Montenegro,2354
Chad,1742
Thailand,1308
Honduras,1220
Somalia,1019
Cameroon,885
Malawi,797
Guatemala,744
Swaziland,577
Venezuela,140
Botswana,104
United Arab Emirates,82
Kuwait,45
Qatar,6
